Location,Period,Kitchen,Dish_Name,Description,Portion_Size,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
IV,Lunch,SOUP,White Rice,Lightly seasoned,4 ounce,"Water, Long Grain White Rice, Water, Vegetable Broth Concentrate",140,3,31,0.0,0,0,0,0.0,75,80,30,1.2,0.0,0,0,0,0,0,"Mushroom, Vegan, Vegetarian, Tomato, Onion, Celery"
IV,Dinner,LATIN KITCHEN,"6"" Flour Tortilla",,1 each,Flour Tortilla,90,2,14,0,2.5,1,0,1,170,20,40,1,0,0,0.0,25,0.0,0,"Vegan, Vegetarian, How Good Friendly, Gluten, Wheat"
IV,Dinner,LATIN KITCHEN,Chili Lime Chicken,Lime and chili spice rubbed chicken thigh baked until crisp,4 ounce,"Chicken, Canola Oil, Salt, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Garlic, Paprika (Paprika and Silicon Dioxide), Cumin, Onion, Sugar, Red Pepper, Cayenne Pepper",250,29,2,0,13,3,155,0,430,350,20,1.8,0.0,10,0,120,0.0,5,"Garlic, Avoiding Gluten, Good Source of Protein, Onion, Poultry"
IV,Dinner,LATIN KITCHEN,Mexican Red Rice,,1/2 cup,"Water, Long Grain White Rice, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Water, Onions, Carrots, Celery, Canola Oil, Tomato paste (tomato paste, citric acid), Vegetable Base, Salt, Cilantro, Garlic, Cumin, Onion, Black Pepper",140,3,24,2,3,0,0,1,270,170,40,1.3,0.0,0,5,30,5,0,"Garlic, Vegan, Vegetarian, Avoiding Gluten, Tomato, Onion, Celery"
IV,Dinner,LATIN KITCHEN,Refried Pinto Beans,"mashed pinto beans with onion, garlic, and jalapeno",1/2 cup,"Pinto Beans, Green Bell Peppers, Onions, Onions, Cilantro, Canola Oil, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Garlic, Jalapeno, Cumin, Salt, Black Pepper",100,2,10,3,7,0.5,0,3,400,280,50,1.8,0.0,0,32,60,0.0,0,"Garlic, Vegan, Vegetarian, Avoiding Gluten, How Good Friendly, Onion"
IV,Dinner,LATIN KITCHEN,Shredded Iceberg Lettuce,,1/2 cup,Lettuce,5,0,1,0.0,0,0,0,0,0,50,10,0.1,0,0,1,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Dinner,LATIN KITCHEN,Diced Tomatoes,,1/4 cup,Tomatoes,10,0,2,1,0,0,0,0.0,0,110,0,0.1,0,0,6,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten, Tomato"
IV,Dinner,LATIN KITCHEN, Diced Onions,,1/4 cup,Onions,15,0,4,2,0,0,0,0.0,0,60,10,0.1,0,0,3,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten, Onion"
IV,Dinner,LATIN KITCHEN,Fresh Cilantro,,1 tbsp,Cilantro,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Dinner,LATIN KITCHEN,Shredded Cheddar Cheese,,1 tbsp,Cheddar Cheese,30,2,0,0,2.5,1.5,5,0,45,10,50,0,0.0,0,0,20,0.0,0,"Vegetarian, Avoiding Gluten, Milk"
